Cliente,Servicio,Equipo,Fecha,Tecnico,Tecnico2,Presupuesto,Estado,Observacion
FARMACO,HPLC06: PROBLEMAS CON EL INYECTOR KAREN FRANCO,HPLC,2026-01-14,Junior,,,REALIZADO,HPLC06: PROBLEMAS CON EL INYECTOR KAREN FRANCO
DUTRIEC,DG-EQ-015 NO LANZA SECUENCIA Y PROBLEMA CON EL SOFTWARE,HPLC Y SOFT,2026-01-14,Junior/Rosana,,,REALIZADO,DG-EQ-015 NO LANZA SECUENCIA Y PROBLEMA CON EL SOFTWARE
MSP&BS,CAAZAPÁ: ENTREGA DE EQUIPOS RAYOS X,RAYOS X,2026-01-15,Carlos,,,REALIZADO,CAAZAPÁ: ENTREGA DE EQUIPOS RAYOS X
MSP&BS,ENTREGA DE EQUIPOS MILLI-Q,MILLI-Q,2026-01-15,Carlos,,,REALIZADO,ENTREGA DE EQUIPOS MILLI-Q
MSP&BS,ENTREGA ESTUFAS SAN LORENZO: USF LAS MARIAS Y USF VIRGEN DE FAT,BOYN,2026-01-15,Fernando JOSE,,,REALIZADO,ENTREGA ESTUFAS SAN LORENZO: USF LAS MARIAS Y USF VIRGEN DE FAT
SCAVONE,CAMBIO DE LAMPARAS PARA EL HPLC21,HPLC,2026-01-15,Jaime/José,,,REALIZADO,CAMBIO DE LAMPARAS PARA EL HPLC21
TECNOMYL,HPLC6: DIFERENCIAS EN LOS TIEMPOS DE RETENCION,HPLC,2026-01-16,Fernando,,,REALIZADO,HPLC6: DIFERENCIAS EN LOS TIEMPOS DE RETENCION
ANALITICA,MP DE UN AUTOCLAVE,AUTOCLAVE,2026-01-16,Adán/Rosana,,,REALIZADO,MP DE UN AUTOCLAVE
GUAYAKI,HPLC: NO ESTABILIZA LA PRESION,HPLC,2026-01-16,Jaime/José,,,REALIZADO,HPLC: NO ESTABILIZA LA PRESION
DSN,CALIF HPLC MODULAR IQ OQ PQ,HPLC,2026-01-16,Zulma,,,REALIZADO,CALIF HPLC MODULAR IQ OQ PQ
FARMACO,LLEVAR AGUJA Y APOYA AGUJA HPLC6,HPLC,2026-01-16,TECNICOS,,,REALIZADO,LLEVAR AGUJA Y APOYA AGUJA HPLC6
AKTRA,GC: NO SALEN LOS PICOS,GC,2026-01-19,Adan,,,REALIZADO,GC: NO SALEN LOS PICOS
QUIMFA,HPLC 15 ESTABILIDAD ERROR 0X93F4 FILTRO DE HOLMIO,HPLC,2026-01-19,Carlos/Rosana,,,REALIZADO,HPLC 15 ESTABILIDAD ERROR 0X93F4 FILTRO DE HOLMIO
DUTRIEC,DG-EQ-030 NO TIENE REPETIBILIDAD,HPLC,2026-01-19,Junior,,,REALIZADO,DG-EQ-030 NO TIENE REPETIBILIDAD
GUAYAKI,CALIF HPLC 2,HPLC,2026-01-19,Zulma,,,REALIZADO,CALIF HPLC 2
LASCA,MANT. Y CALIF DEL TOC,TOC,2026-01-19,Jaime/José,,,REALIZADO,MANT. Y CALIF DEL TOC
ETICOS,GC IYDCR02 DE JESSICA PAVON NO ENCIENDE LA LLAMA Y SALE ERROR E4204,GC,2026-01-19,Josías,,,REALIZADO,
TECNOMYL,HPLC14: PROBLEMAS CON EL AUTOSAMPLER,HPLC,2026-01-20,Josías,,,REALIZADO,
IRIBAS,REUNION CON LA GENTE DE IRIBAS,,2026-01-20,Carlos,,,REALIZADO,
HTAL CLINICAS,VERIFICAR EQUIPO,RAYOS X,20/01/0206,Carlos,,,REALIZADO,
LAFASA,LLEVAR ROTOR E INSTALAR (CON REMISION) EQUIPO ERA DE CHDS,HPLC,2026-01-21,Fernando,,,REALIZADO,
QUIMFA,HPLC 15 PROBLEMAS CON EL CROMATOGRAMA,HPLC,2026-01-21,Carlos,,,REALIZADO,
QUIMFA,HPLC 26 PROBLEMAS CON LA LAMPARA VANESSA BARRIOS,HPLC,2026-01-21,Carlos,,,REALIZADO,
ANALITICA,TERMINAR REPARACION DE LA UPS,UPS,2026-01-21,Junior,,,REALIZADO,
GUAYAKI,REVISION HPLC 2 NO ESTABILIZA LA PRESION,HPLC,2026-01-21,Fernando,,,REALIZADO,
QUIMFA,MANT PREVENTIVO TOC,TOC,2026-01-21,Jaime,,,REALIZADO,
MSP&BS,CENTRAL: ENTREGA DE ESTUFAS,BOYN,2026-01-21,José/Isaac,,,REALIZADO,
PROSALUD,LLEVAR REPUESTOS DEL HPLC1 Y UHPLC1,HPLC,2026-01-22,Fernando/Rosana,,,REALIZADO,
MSP&BS,CENTRAL: ENTREGA DE ESTUFAS,BOYN,2026-01-22,José/Isaac,,,REALIZADO,
FARMACO,HPLC 7: INTESIDAD DE LA LAMPARA,HPLC,2026-01-22,Zulma,,,REALIZADO,
DUTRIEC,MANT PREVENTIVO 4 EQUIPOS HPLC,HPLC,2026-01-22,Junior/carlos,,,REALIZADO,
QUIMFA,HPLC 15 PROBLEMAS CON EL CROMATOGRAMA,HPLC,2026-01-22,Jaime,,,REALIZADO,
QUIMFA,HPLC 26 PROBLEMAS CON LA LAMPARA VANESSA BARRIOS,HPLC,2026-01-22,Jaime,,,REALIZADO,
DUTRIEC,MANT PREVENTIVO 4 EQUIPOS HPLC,HPLC,2026-01-23,Junior/Carlos,,,REALIZADO,
DUTRIEC,CALIF 2 EQUIPOS  CC-EQ-055 Y  CC-EQ-054,HPLC,2026-01-23,Zulma,,,REALIZADO,
PROSALUD,PROBLEMAS CON SU VENTILADOR,HPLC,2026-01-23,Fernando,,,REALIZADO,
CIAGROPA,HPLC INTEGRADO: PROBLEMAS CON EL LPGE,HPLC,2026-01-23,Fernando,,,REALIZADO,
SUMI,CAPACITACIÓN,HPLC,2026-01-24,TODOS,,,REALIZADO,
QUIMFA,HPLC 26: ERROR DE LA LAMPARA,HPLC,2026-01-26,Jaime,,,REALIZADO,HPLC 26: ERROR DE LA LAMPARA
SCAVONE,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)",VARIOS,2026-01-26,Junior/José,,,REALIZADO,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)"
SCAVONE,"MP EQUIPOS DE CONTROL DE CALIDAD (9 HPLC, 1 GC Y 1 UV)",VARIOS,2026-01-26,Carlos/Rosana,,,REALIZADO,"MP EQUIPOS DE CONTROL DE CALIDAD (9 HPLC, 1 GC Y 1 UV)"
DUTRIEC,CALIF 2 EQUIPOS  CC-EQ-055 Y  CC-EQ-054,HPLC,2026-01-26,Zulma,,,REALIZADO,CALIF 2 EQUIPOS  CC-EQ-055 Y  CC-EQ-054
SCAVONE,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)",VARIOS,2026-01-27,Jaime/José/Rosana,,,REALIZADO,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)"
MSP&BS,CAAGUAZU ENTREGA EQUIPOS RAYOS X,RAYOS X,2026-01-27,Carlos/Junior,,,REALIZADO,CAAGUAZU ENTREGA EQUIPOS RAYOS X
SCAVONE,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)",VARIOS,2026-01-28,Jaime/José/Rosana,,,REALIZADO,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)"
GRAMON,RELEVAMIENTO DE 3 EQUIPOS HPLC ALICIA PARRA,HPLC,2026-01-28,Fernando,,,REALIZADO,RELEVAMIENTO DE 3 EQUIPOS HPLC ALICIA PARRA
MSP&BS,CAAGUAZU ENTREGA EQUIPOS RAYOS X,RAYOS X,2026-01-28,Carlos/Junior,,,REALIZADO,CAAGUAZU ENTREGA EQUIPOS RAYOS X
PROSALUD,MANTENIMIENTO ULTRA FRREEZER,ULTRAFREEZER,2026-01-29,Junior,,,REALIZADO,MANTENIMIENTO ULTRA FRREEZER
SCAVONE,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)",VARIOS,2026-01-29,Jaime/José/Rosana,,,REALIZADO,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)"
GRAMON,RELEVAMIENTO DE 3 EQUIPOS HPLC ALICIA PARRA,HPLC,2026-01-29,Fernando,,,REALIZADO,RELEVAMIENTO DE 3 EQUIPOS HPLC ALICIA PARRA
DUTRIEC,MANT PREVENTIVO DG EQ 039,HPLC,2026-01-29,Fernando,,,REALIZADO,MANT PREVENTIVO DG EQ 039
IRIBAS,,,2026-01-29,Carlos,,,REALIZADO,
MSP&BS,ENTREGA E INSTALACION DE 6 ESTUFAS CIUDAD DE PARAGUARI,ESTUFAS,2026-01-30,José/Isaac,,,REALIZADO,ENTREGA E INSTALACION DE 6 ESTUFAS CIUDAD DE PARAGUARI
DUTRIEC,CALIF HPLC DE DESARROLLO,HPLC,2026-01-30,Zulma,,,REALIZADO,CALIF HPLC DE DESARROLLO
DIGESA,VERIFICAR ESTADO DE EQUIPOS DE AA MARIA JOSÉ JARA,AA,2026-01-30,Jaime,,,REALIZADO,VERIFICAR ESTADO DE EQUIPOS DE AA MARIA JOSÉ JARA
SCAVONE,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)",VARIOS,2026-01-30,Junior,,,REALIZADO,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)"
SCAVONE,"MP EQUIPOS DE CONTROL DE CALIDAD (9 HPLC, 1 GC Y 1 UV)",VARIOS,2026-01-30,Carlos,,,REALIZADO,"MP EQUIPOS DE CONTROL DE CALIDAD (9 HPLC, 1 GC Y 1 UV)"
GALMEDIC,RELEVAMIENTO 5 HPLC,HPLC,2026-01-30,Fernando,,,REALIZADO,RELEVAMIENTO 5 HPLC
MSP&BS,ENTREGA E INSTALACION DE 4 ESTUFAS,ESTUFAS,2026-02-02,José/Isaac,,,REALIZADO,ENTREGA E INSTALACION DE 4 ESTUFAS
SCAVONE,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)",VARIOS,2026-02-02,Carlos,,,REALIZADO,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)"
QUIMFA,INSTALACION EQUIPO GC CON HS,GC,2026-02-02,Adán,,,REALIZADO,INSTALACION EQUIPO GC CON HS
DIGESA,REVISION DE EQUIPOS DE AA,AA,2026-02-02,Jaime,,,REALIZADO,REVISION DE EQUIPOS DE AA
GUAYAKI,PROBLEMAS CON EL TOC,TOC,2026-02-02,Fernando,,,REALIZADO,PROBLEMAS CON EL TOC
MSP&BS,ENTREGA E INSTALACION DE 4 ESTUFAS (ITA) A CONFIRMAR,ESTUFAS,2026-02-03,José/Isaac,,,REALIZADO,ENTREGA E INSTALACION DE 4 ESTUFAS (ITA) A CONFIRMAR
FAC POLITECNICA,INSTALAR HORNO MUFFLA,MUFFLA,2026-02-03,Jaime,,,REALIZADO,INSTALAR HORNO MUFFLA
PHARMA IND,MANT PREVENTIVO 1 EQUIPO,HPLC,2026-02-03,Fernando,,,REALIZADO,MANT PREVENTIVO 1 EQUIPO
SCAVONE,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)",VARIOS,2026-02-03,Carlos,,,REALIZADO,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)"
SCAVONE,"MP EQUIPOS DE CONTROL DE CALIDAD (9 HPLC, 1 GC Y 1 UV)",VARIOS,2026-02-03,Junior,,,REALIZADO,"MP EQUIPOS DE CONTROL DE CALIDAD (9 HPLC, 1 GC Y 1 UV)"
PHARMA IND,CALIF 1 EQUIPO,HPLC,2026-02-04,Zulma,,,REALIZADO,CALIF 1 EQUIPO
HTAL POLICIA,TRAER PEDAL DE LA LAMPARA DE HENDIDURA A CONFIRMAR CON LA DRA,RODENSTOCK,2026-02-04,Jaime,,,REALIZADO,TRAER PEDAL DE LA LAMPARA DE HENDIDURA A CONFIRMAR CON LA DRA
MSP&BS,ENTREGA EQUIPOS RAYOS X EN CONCEPCION,RAYOS X,2026-02-04,Carlos/José,,,REALIZADO,ENTREGA EQUIPOS RAYOS X EN CONCEPCION
SCAVONE,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)",VARIOS,2026-02-04,Junior,,,REALIZADO,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)"
QUIMFA,INSTALACION DE SOFTWARE GC CON HS,SOFTWARE,2026-02-04,Fernando,,,REALIZADO,INSTALACION DE SOFTWARE GC CON HS
MSP&BS,ENTREGA EQUIPOS RAYOS X EN CONCEPCION,RAYOS X,2026-02-05,Carlos/José,,,REALIZADO,ENTREGA EQUIPOS RAYOS X EN CONCEPCION
SCAVONE,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)",VARIOS,2026-02-05,Junior,,,REALIZADO,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)"
SCAVONE,"MP EQUIPOS DE CONTROL DE CALIDAD (9 HPLC, 1 GC Y 1 UV)",VARIOS,2026-02-05,Jaime,,,REALIZADO,"MP EQUIPOS DE CONTROL DE CALIDAD (9 HPLC, 1 GC Y 1 UV)"
QUIMFA,CALIF DEL GC +HS,GC,2026-02-05,Adan,,,REALIZADO,CALIF DEL GC +HS
TECNOMYL,CAPACITACION DE CALIF,HPLC,2026-02-05,Josías,,,REALIZADO,CAPACITACION DE CALIF
PROSALUD,PERDIDA DE LIQUIDO HPLC,HPLC,2026-02-05,Fernando,,,REALIZADO,PERDIDA DE LIQUIDO HPLC
MSP&BS,ENTREGA EQUIPOS RAYOS X EN CONCEPCION,RAYOS X,2026-02-06,Carlos/José,,,REALIZADO,ENTREGA EQUIPOS RAYOS X EN CONCEPCION
MSP&BS,ENTREGA ESTUFAS EN CORDILLERA,BOYN,2026-02-06,Fernando,,,REALIZADO,ENTREGA ESTUFAS EN CORDILLERA
SCAVONE,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)",VARIOS,2026-02-06,Jaime,,,REALIZADO,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)"
SCAVONE,"MP EQUIPOS DE CONTROL DE CALIDAD (9 HPLC, 1 GC Y 1 UV)",VARIOS,2026-02-06,Junior,,,REALIZADO,"MP EQUIPOS DE CONTROL DE CALIDAD (9 HPLC, 1 GC Y 1 UV)"
GUAYAKI,ERROR EN LA INICIACION DEL EQUIPO,TOC,2026-02-09,Fernando,,,REALIZADO,ERROR EN LA INICIACION DEL EQUIPO
PHARMA IND,PERDIDA DE LIQUIDO EN EL INYECTOR,HPLC,2026-02-09,,,,REALIZADO,
GALENO,ROMPIÓ LA AGUJA DEL DISOLUTOR,SOTAX,2026-02-09,Adán,,,REALIZADO,ROMPIÓ LA AGUJA DEL DISOLUTOR
FUSQUIM,REVISAR BALANZA EP-100 NO IMPRIME,BALANZA,2026-02-09,José,,,REALIZADO,REVISAR BALANZA EP-100 NO IMPRIME
ANALITICA,INSTALACION REPUESTO HORNO GRAFITO,,,Josías,,,REALIZADO,INSTALACION REPUESTO HORNO GRAFITO
SCAVONE,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)",VARIOS,2026-02-09,Carlos,,,REALIZADO,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)"
SCAVONE,"MP EQUIPOS DE CONTROL DE CALIDAD (9 HPLC, 1 GC Y 1 UV)",GC,2026-02-09,Junior,,,REALIZADO,"MP EQUIPOS DE CONTROL DE CALIDAD (9 HPLC, 1 GC Y 1 UV)"
DUTRIEC,HPLC 055 PERDIDA DE LIQUIDO EN EL INYECTOR,HPLC,2026-02-09,Jaime,,,REALIZADO,HPLC 055 PERDIDA DE LIQUIDO EN EL INYECTOR
ETICOS,MP 2 EQUIPOS HPLC,HPLC,2026-02-10,Fernando,,,REALIZADO,MP 2 EQUIPOS HPLC
SENACSA,INSTALAR ACCESORIO DE MERCURIO,AA,2026-02-10,Josias,,,REALIZADO,INSTALAR ACCESORIO DE MERCURIO
TALLER,SCAVONE: HPLC 20 Y HPLC 21,HPLC,2026-02-10,Junior,,,REALIZADO,SCAVONE: HPLC 20 Y HPLC 21
SCAVONE,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)",VARIOS,2026-02-10,Carlos,,,REALIZADO,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)"
SCAVONE,MP EQUIPOS DE DESARROLLO PANDAESP01 UV,UV,2026-02-10,Carlos,,,REALIZADO,MP EQUIPOS DE DESARROLLO PANDAESP01 UV
SCAVONE,MP EQUIPOS DE DESARROLLO 2 DISOLUTORES,SOTAX,2026-02-10,Junior,,,REALIZADO,MP EQUIPOS DE DESARROLLO 2 DISOLUTORES
MSP&BS,ENTREGA DE ESTUFAS EN CORDILLERA,BOYN,2026-02-10,Jose,,,REALIZADO,ENTREGA DE ESTUFAS EN CORDILLERA
CETAPAR,NO PASA CHECK DE PRESION DE ACETILENO,AA,2026-02-10,Jaime,,,REALIZADO,NO PASA CHECK DE PRESION DE ACETILENO
ETICOS,MP 2 EQUIPOS HPLC,HPLC,2026-02-11,Fernando,,,REALIZADO,MP 2 EQUIPOS HPLC
MSP&BS,ENTREGA DE ESTUFAS EN CORDILLERA,BOYN,2026-02-11,Jose,,,REALIZADO,ENTREGA DE ESTUFAS EN CORDILLERA
ANALITICA,LINEA DE BASE ALTA,LCMS,2026-02-11,Josías,,,REALIZADO,LINEA DE BASE ALTA
ANALITICA,MANT UPS,UPS,2026-02-11,Junior,,,REALIZADO,MANT UPS
SCAVONE,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)",VARIOS,2026-02-11,Carlos,,,REALIZADO,"MP EQUIPOS DE DESARROLLO (13 HPLC, 2 UV)"
CETAPAR,NO PASA CHECK DE PRESION DE ACETILENO,AA,2026-02-11,Jaime,,,REALIZADO,NO PASA CHECK DE PRESION DE ACETILENO
FAC. POLITEC,CAPACITACION MUFFLA,MUFFLA,2026-02-12,Adán,,,ENVIADO,
TECNOMYL,MP HPLC01 IDE,HPLC,2026-02-12,Fernando,,,REALIZADO,
HTAL POLICIA,LLEVAR EL PEDAL,HENDIDURA,2026-02-12,José,,,REALIZADO,
CMB,MANTENIMIENTO PREVENTIVO FLEXAVISION,RAYOS,2026-02-12,Carlos,,,REALIZADO,
ETICOS,CALIF 2 EQUIPOS HPLC,HPLC,2026-02-12,Zulma,,,REALIZADO,
MSP&BS,ENTREGA DE ESTUFAS EN CORDILLERA,BOYN,2026-02-12,Jose,,,REALIZADO,ENTREGA DE ESTUFAS EN CORDILLERA
QUIMFA,HPLC 25 MC Y MP VALIDACIONES,HPLC,2026-02-12,Jaime,,,REALIZADO,HPLC 25 MC Y MP VALIDACIONES
SCAVONE,MANT 2 DISOLUTORES Y UN ULTRA DESARROLLO,HPLC,2026-02-13,Carlos,,,REALIZADO,MANT 2 DISOLUTORES Y UN ULTRA DESARROLLO
ANALITICA,INSTALACION DE SOFTWARE DEL AOC,SOFTWARE,2026-02-13,Fernando,,,REALIZADO,INSTALACION DE SOFTWARE DEL AOC
QUIMFA,VALIDACIONES MP,,2026-02-13,Jaime,,,REALIZADO,VALIDACIONES MP
ETICOS,CALIF 2 EQUIPOS HPLC,HPLC,2026-02-16,Zulma,,,REALIZADO,CALIF 2 EQUIPOS HPLC
MSP&BS,ENTREGA DE ESTUFAS EN CORDILLERA,BOYN,2026-02-16,Jose,,,REALIZADO,ENTREGA DE ESTUFAS EN CORDILLERA
QUIMFA,VALIDACIONES MP,,2026-02-16,Jaime,,,REALIZADO,VALIDACIONES MP
ANALITICA,SOLUCIONAR SOFTWRE DEL GC,SOFTWARE,2026-02-16,Fernando,,,REALIZADO,SOLUCIONAR SOFTWRE DEL GC
ETICOS,CALIF 2 EQUIPOS EN IYD,HPLC,2026-02-17,Zulma,,,REALIZADO,CALIF 2 EQUIPOS EN IYD
DUTRIEC,CAMBIO SENSOR DEL RACK HPLC 055,HPLC,2026-02-17,Jaime,,,REALIZADO,CAMBIO SENSOR DEL RACK HPLC 055
DUTRIEC,VALVULA DE ACETILENO NO DETECTA PRESION,AA,2026-02-17,Jaime,,,REALIZADO,VALVULA DE ACETILENO NO DETECTA PRESION
QUIMFA,VALIDACIONES MP,HPLC,2026-02-17,Carlos,,,REALIZADO,VALIDACIONES MP
IRIS,MP 2 GC,GC,2026-02-17,Junior,,,REALIZADO,MP 2 GC
IRIS,MP 2 GC,GC,2026-02-18,Junior,,,REALIZADO,MP 2 GC
QUIMFA,VALIDACIONES MP,HPLC,2026-02-18,Jaime/Rosana,,,REALIZADO,VALIDACIONES MP
QUIMFA,AA EMITE UNA ALERTA AL ENCENDERSE,AA,2026-02-18,Jaime,,,REALIZADO,AA EMITE UNA ALERTA AL ENCENDERSE
ANALITICA,MANT PREVENTIVO DE EQUIPOS (HPLC 1),VARIOS,2026-02-18,Fernando/José,,,REALIZADO,MANT PREVENTIVO DE EQUIPOS (HPLC 1)
TALLER,GC INDUFAR REVISAR,GC,2026-02-18,Fernando,,,REALIZADO,GC INDUFAR REVISAR
HTAL DE POLICIA,ARMAR EL PEDAL DE HENDIDURA,PEDAL,2026-02-18,Carlos,,,REALIZADO,ARMAR EL PEDAL DE HENDIDURA
CLUB MBIGUA,TOMA DE MUESTRA EN ASUNCION HORA: 10:00 AM,TOMA DE PCB,2026-02-19,Junior,,,REALIZADO,TOMA DE MUESTRA EN ASUNCION HORA: 10:00 AM
PROSALUD,REUNION CON NESTOR OVELAR,,2026-02-19,Josías,,,REALIZADO,REUNION CON NESTOR OVELAR
QUIMFA,CALIF HPLC DE VALIDACIONES,,2026-02-19,Zulma,,,REALIZADO,CALIF HPLC DE VALIDACIONES
HTAL OVIEDO,PERILLA DEL MICROSCOPIO NO FUNCIONA,BOYN,2026-02-19,Adan,,,REALIZADO,PERILLA DEL MICROSCOPIO NO FUNCIONA
HTAL OVIEDO,LLEVAR MICROSCOPIO NUEVO,BOYN,2026-02-19,Adan,,,REALIZADO,LLEVAR MICROSCOPIO NUEVO
SCAVONE,HPLC 20 PRESENTA PERDIDA DE LIQUIDO EN EL INYECTOR LIC OSVALDO,HPLC,2026-02-19,Carlos,,,REALIZADO,HPLC 20 PRESENTA PERDIDA DE LIQUIDO EN EL INYECTOR LIC OSVALDO
ANALITICA,MANT PREVENTIVO EQUIPOS VARIOS,HPLC,2026-02-19,Jose,,,REALIZADO,MANT PREVENTIVO EQUIPOS VARIOS
ANALITICA,MANT PREVENTIVO EQUIPOS VARIOS,HPLC,2026-02-19,Rosana,,,REALIZADO,MANT PREVENTIVO EQUIPOS VARIOS
SUMI,REUNION INTEGRACION DEL ODOO CON LAB SOLUTIONS CS,SOFTWARE,2026-02-19,Fernando,,,REALIZADO,REUNION INTEGRACION DEL ODOO CON LAB SOLUTIONS CS
QUIMFA,AA EMITE UNA ALERTA AL ENCENDERSE,AA,2026-02-19,Jaime,,,REALIZADO,AA EMITE UNA ALERTA AL ENCENDERSE
